Subject ,Gender,Drug,Time,Globalscore,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,facetwitch,Archedbackposture,Ambulatorytime,Ambulatorycounts,Ambulatorydistance,Ambulatoryepisodes,ambulatoryspeeds,Stereotypictime,Stereotypiccounts,Restingtime
ALB70,Male,Vehicle,6,,,,,,,,,,,,,,,,,,
ALB72,Male,Vehicle,6,,,,,,,,,,,,,,,,,,
ALB73,Male,Vehicle,6,,,,,,,,,,,,,,,,,,
ALB74,Male,Vehicle,6,,,,,,,,,,,,,,,,,,
ALB109,Male,Vehicle,6,3,0,0,0,2,0,1,0,0,0,4.45,55,403.4,4,65.1,171,1856,1624.6
ALB110,Male,Vehicle,6,15,7,2,0,0,4,1,1,0,0,22.2,377,1323.8,37,62.5,257.4,3104,1520.5
ALB123,Male,Vehicle,6,8,1,5,0,0,1,0,1,0,0,29.5,684,1919.42,50,80.72,213,2607,1557.6
ALB124,Male,Vehicle,6,6,0,0,0,3,0,1,0,2,0,8.5,163,717.1,16,105.4,188.2,2157,1603.4
ALB134,Male,Vehicle,6,11,2,0,1,1,3,2,2,0,0,11.3,144,1169,9,63.7,258.5,2903,1530.2
ALB135,Male,Vehicle,6,15,4,4,0,0,0,3,3,1,0,17.7,231,1100,20,41.9,296.4,3251,1486
ALB139,Male,Vehicle,6,16,1,6,1,0,0,0,8,0,0,35.2,912,2698.9,55,89.5,254.3,3403,1510.6
ALB151,Male,Vehicle,6,11,11,0,0,0,0,0,0,0,0,36.45,610,2157.8,58,66.3,277.9,3516,1485.7
ALB70,Male,Vehicle,10,10,1,6,1,1,0,0,0,0,1,20.6,280,1483.1,28,57.7,302.9,3522,1476.6
ALB72,Male,Vehicle,10,21,10,5,0,1,4,0,1,0,0,8.25,135,668.5,13,60.1,255.8,3056,1536.1
ALB73,Male,Vehicle,10,7,2,4,0,0,1,0,0,0,0,33.5,698,2005.3,59,79.6,270.1,3598,1496.4
ALB74,Male,Vehicle,10,9,2,4,0,0,3,0,0,0,0,13.4,161,937.4,20,39.7,182.9,1987,1603.8
ALB109,Male,Vehicle,10,2.5,2,0.5,0,0,0,0,0,0,0,14.3,206,957.1,17,52.7,235.1,2595,1550.7
ALB110,Male,Vehicle,10,23,5.5,3.5,0,0,12.5,0,1.5,0,0,21.2,347,1228.7,34,51.6,277.6,3124,1501.3
ALB123,Male,Vehicle,10,9,2,4,0,1,1,1,0,0,0,16.7,387,1304.5,34,87,234.2,2771,1549.2
ALB124,Male,Vehicle,10,17,2,1,1,3,6,2,1,1,0,23,455,1297.4,35,61.9,189.5,2311,1587.6
ALB134,Male,Vehicle,10,,,,,,,,,,,,,,,,,,
ALB135,Male,Vehicle,10,,,,,,,,,,,,,,,,,,
ALB139,Male,Vehicle,10,,,,,,,,,,,,,,,,,,
ALB151,Male,Vehicle,10,6,3,3,0,0,0,0,0,0,0,13.35,225,798,20,54.1,161.5,1889,1625.2
ALB70,Male,Vehicle,24,14,5.5,0.5,0,0.5,6,1.5,0,0,0,17.5,244,937,29,53.7,231.6,2627,1551
ALB72,Male,Vehicle,24,21,7,0,0,1,12.5,0.5,0,0,0,6.9,111,492.8,13,47.9,182.7,2109,1610.4
ALB73,Male,Vehicle,24,14,3,0,0,0,10.5,0,0,0.5,0,24.45,309,1071.6,35,43,176.8,2123,1598.8
ALB74,Male,Vehicle,24,10.5,2,1.5,1,1,0.5,4.5,0,0,0,2.2,40,291.1,1,136.8,94.7,1038,1703.1
