Specific Aim 1: Compare spontaneuos withdrawal from WIN in male and female rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimenter:,,Abigail Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug administration:,,D1- 0.2 mg/kg WIN or DMSO + Saline PM and AM,,,,,Red label denotes brain collected and stored in the -80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D2- 0.4 mg/kg WIN or DMSO + Saline PM and AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D3- 0.6 mg/kg WIN or DMSO + Saline PM and AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D4- 0.8 mg/kg WIN or DMSO + Saline PM and AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"D5- 0.8 mg/kg WIN or DMSO + Saline PM withdrawal assessed at 10, 24, 48, 72, 96 hr after final infusion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96 hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEHICLE MALES,,,,,,,,,,,,,Physiological Measures ,,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,physiological measures,,,,,Behavioral Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight:,D1,,D2,,D3,,D4,,D5,,Body Temp,,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,Body Temp,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,BODY TEMP,,Body weight,,,Count per occurence,,,,,,,,,Checked as present or absent,,,,,SUM,,Locomotion,,,,,,,,,,,,,,,,,,,,,,,,
ID:,Start date,,PM,AM,PM,AM,PM,AM,PM,AM,PM,,after final WIN,before session,after session,before session,After W/D,Fecal boli,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Total Beam breaks,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Total Beam breaks,,before session,after session,before session,After W/D,fecal,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,,,,,,,,,,,,,
ALB70,8/23/21,,405,411,423,423,412,414,413,415,416,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36.9,417,415,,1,6,1,1,0,0,0,0,1,0,0,1,0,0,10,,20.6,280,1483.1,28,57.7,302.9,3522,0,0,1476.6,3802,,35.8,37,411,408,,5.5,0.5,0,0.5,6,1.5,0,0,0,0,0,2,0,1,14,,17.5,244,937,29,53.7,231.6,2627,0,0,1551,,,36,37.4,417,413,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,,26.3,376,1401.3,40,47.3,203.8,2585,0,0,1569.9,,,36,37.4,421,416,,1,3,2,0,0,0,0,0,0,0,0,0,0,0,6,,9.7,115,648.2,13,48.8,171.9,1947,0,0,1618.4,,,36,37,422,419,,0,3,3,0,0,0,0,0,0,0,0,0,0,1,6,,28.4,380,1363.7,42,43.1,222,2621,0,0,1549.6,,,,,,,,,,,,,,,
ALB72,8/23/21,,416,415,416,410,415,422,422,419,418,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,37.4,426,424,,10,5,0,1,4,0,1,0,0,0,0,1,0,0,21,,8.25,135,668.5,13,60.1,255.8,3056,0,0,1536.1,3191,,36.3,37.3,424,423,,7,0,0,1,12.5,0.5,0,0,0,0,0,2,0,0,21,,6.9,111,492.8,13,47.9,182.7,2109,0,0,1610.4,,,36.4,37.1,424,421,,6,1,1,1,14,0,0,0,0,0,0,3,0,0,23,,8.2,139,679,20,74.2,219.8,2646,0,0,1572.1,,,36.5,36.8,428,426,,3,0,0,1,7,0,0,0,0,0,0,3,0,0,11,,8.05,100,550.1,14,40.4,191,2066,0,0,1601,,,36.4,37.9,436,433,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,,3.8,62,377,6,80.6,200.8,2244,0,0,1595.4,,,,,,,,,,,,,,,
ALB73,8/26/21,,388,392,384,395,383,395,384,394,388,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,37.4,393,391,,2,4,0,0,1,0,0,0,0,0,0,1,0,1,7,,33.5,698,2005.3,59,79.6,270.1,3598,0,0,1496.4,4296,,37.1,36.8,391,387,,3,0,0,0,10.5,0,0,0.5,0,1,0,2,0,1,14,,24.45,309,1071.6,35,43,176.8,2123,0,0,1598.8,,,,,393,392,,11,0,0,0,14,1,2,0,0,0,0,3,0,1,28,,20.6,310,1061.1,41,68.6,216.3,2708,0,0,1563.1,,,36.4,36.8,396,395,,1,0,0,0,14,0,0,0,0,0,0,3,0,1,15,,26.3,450,1286.2,47,59.5,223.7,2980,0,0,1550.05,,,36.3,36.9,392,392,,1,2,0,0,2,1,0,0,0,0,2,2,0,1,6,,4.4,84,333.1,9,76.5,185.6,2124,0,0,1610.1,,,,,,,,,,,,,,,
ALB74,8/26/21,,385,387,386,394,388,391,387,393,388,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37.5,393,391,,2,4,0,0,3,0,0,0,0,0,0,1,0,0,9,,13.4,161,937.4,20,39.7,182.9,1987,0,0,1603.8,2148,,36,37.8,392,389,,2,1.5,1,1,0.5,4.5,0,0,0,0,0,3,0,1,10.5,,2.2,40,291.1,1,136.8,94.7,1038,0,0,1703.1,,,,,393,390,,0,4,0,0,1,2,0,1,0,0,0,2,0,0,8,,2.1,35,210.4,1,98.7,98.7,1045,0,0,1699.3,,,36.9,37.6,393,391,,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,,3.75,33,251.4,3,23.3,98.8,1060,0,0,1697.5,,,36.4,37.4,389,384,,1,0,1,0,1,1,0,1,0,0,0,0,0,0,5,,4.1,43,300.7,5,36.2,92,994,0,0,1703.8,,,,,,,,,,,,,,,
